"git-annex","8.20210428","https://src.fedoraproject.org/rpms/git-annex"
"git-lfs","1.1.0","https://src.fedoraproject.org/rpms/ghc-git-lfs"
"git-repair","1.20200504","https://src.fedoraproject.org/rpms/git-repair"
"githash","0.1.4.0","https://src.fedoraproject.org/rpms/ghc-optparse-simple"
"gitit","0.13.0.0","https://src.fedoraproject.org/rpms/gitit"
"gitrev","1.3.1","https://src.fedoraproject.org/rpms/ghc-gitrev"
"glib","0.13.8.1","https://src.fedoraproject.org/rpms/ghc-glib"
"graphviz","2999.20.0.4","https://src.fedoraproject.org/rpms/darcs"
"gtk","0.15.5","https://src.fedoraproject.org/rpms/ghc-gtk"
"gtk2hs-buildtools","0.13.8.0","https://src.fedoraproject.org/rpms/gtk2hs-buildtools"
"gtk3","0.15.5","https://src.fedoraproject.org/rpms/ghc-gtk3"
"hackage-security","0.6.0.1","https://src.fedoraproject.org/rpms/ghc-hackage-security"
"haddock-library","1.8.0","https://src.fedoraproject.org/rpms/ghc-haddock-library"
"hadolint","1.18.2","https://src.fedoraproject.org/rpms/hadolint"
"hakyll","4.13.4.0","https://src.fedoraproject.org/rpms/ghc-hakyll"
"half","0.3","https://src.fedoraproject.org/rpms/ghc-half"
"happstack-server","7.6.1","https://src.fedoraproject.org/rpms/ghc-happstack-server"
"happy","1.19.12","https://src.fedoraproject.org/rpms/happy"
"hashable","1.3.0.0","https://src.fedoraproject.org/rpms/ghc-hashable"
"hashtables","1.2.3.4","https://src.fedoraproject.org/rpms/ghc-hashtables"
"haskeline","0.7.5.0","https://src.fedoraproject.org/rpms/ghc"
"haskell-gi","0.24.7","https://src.fedoraproject.org/rpms/ghc-haskell-gi"
"haskell-gi-base","0.24.5","https://src.fedoraproject.org/rpms/ghc-haskell-gi-base"
"haskell-lexer","1.1","https://src.fedoraproject.org/rpms/ghc-haskell-lexer"
"haskell-src-exts","1.23.1","https://src.fedoraproject.org/rpms/ghc-haskell-src-exts"
"haskell-src-exts-util","0.2.5","https://src.fedoraproject.org/rpms/ghc-haskell-src-exts-util"
"haskell-src-meta","0.8.5","https://src.fedoraproject.org/rpms/ghc-haskell-src-meta"
"haxr","3000.11.4.1","https://src.fedoraproject.org/rpms/ghc-haxr"
"heaps","0.3.6.1","https://src.fedoraproject.org/rpms/shake"
"hgettext","0.1.31.0","https://src.fedoraproject.org/rpms/ghc-hgettext"
"hi-file-parser","0.1.0.0","https://src.fedoraproject.org/rpms/haskell-platform"
"highlighting-kate","0.6.4","https://src.fedoraproject.org/rpms/ghc-highlighting-kate"
"hinotify","0.4","https://src.fedoraproject.org/rpms/ghc-hinotify"
"hint","0.9.0.3","https://src.fedoraproject.org/rpms/ghc-hint"
"hjsmin","0.2.0.4","https://src.fedoraproject.org/rpms/ghc-hjsmin"
"hledger","1.18.1","https://src.fedoraproject.org/rpms/hledger"
"hledger-lib","1.18.1","https://src.fedoraproject.org/rpms/ghc-hledger-lib"
"hledger-ui","1.18.1","https://src.fedoraproject.org/rpms/hledger-ui"
"hledger-web","1.18.1","https://src.fedoraproject.org/rpms/hledger-web"
"hlint","3.1.6","https://src.fedoraproject.org/rpms/hlint"
"hoauth2","1.14.0","https://src.fedoraproject.org/rpms/ghc-hoauth2"
"hosc","0.18.1","https://src.fedoraproject.org/rpms/ghc-hosc"
"hostname","1.0","https://src.fedoraproject.org/rpms/ghc-hostname"
"hourglass","0.2.12","https://src.fedoraproject.org/rpms/ghc-hourglass"
"hpack","0.34.2","https://src.fedoraproject.org/rpms/haskell-platform"
"hpc","0.6.0.3","https://src.fedoraproject.org/rpms/ghc"
"hs-bibutils","6.10.0.0","https://src.fedoraproject.org/rpms/ghc-hs-bibutils"
"hscolour","1.24.4","https://src.fedoraproject.org/rpms/hscolour"
"hslogger","1.3.1.0","https://src.fedoraproject.org/rpms/ghc-hslogger"
"hslua","1.0.3.2","https://src.fedoraproject.org/rpms/ghc-hslua"
"hslua-module-system","0.2.1","https://src.fedoraproject.org/rpms/pandoc"
"hslua-module-text","0.2.1","https://src.fedoraproject.org/rpms/ghc-hslua-module-text"
"hspec","2.7.1","https://src.fedoraproject.org/rpms/ghc-hspec"
"hspec-core","2.7.1","https://src.fedoraproject.org/rpms/ghc-hspec-core"
"hspec-discover","2.7.1","https://src.fedoraproject.org/rpms/ghc-hspec-discover"
"hspec-expectations","0.8.2","https://src.fedoraproject.org/rpms/ghc-hspec-expectations"
"html","1.0.1.2","https://src.fedoraproject.org/rpms/ghc-html"
"html-conduit","1.3.2.1","https://src.fedoraproject.org/rpms/ghc-html-conduit"
"htoml","1.0.0.3","https://src.fedoraproject.org/rpms/ghc-htoml"
"http-api-data","0.4.1.1","https://src.fedoraproject.org/rpms/ghc-http-api-data"
"http-client","0.6.4.1","https://src.fedoraproject.org/rpms/ghc-http-client"
"http-client-openssl","0.3.1.0","https://src.fedoraproject.org/rpms/ghc-http-client-openssl"
"http-client-restricted","0.0.3","https://src.fedoraproject.org/rpms/ghc-http-client-restricted"
"http-client-tls","0.3.5.3","https://src.fedoraproject.org/rpms/ghc-http-client-tls"
"http-common","0.8.2.1","https://src.fedoraproject.org/rpms/ghc-http-common"
"http-conduit","2.3.7.3","https://src.fedoraproject.org/rpms/ghc-http-conduit"
"http-date","0.0.8","https://src.fedoraproject.org/rpms/ghc-http-date"
"http-directory","0.1.8","https://src.fedoraproject.org/rpms/ghc-http-directory"
"http-download","0.2.0.0","https://src.fedoraproject.org/rpms/haskell-platform"
"http-media","0.8.0.0","https://src.fedoraproject.org/rpms/ghc-http-media"
"http-query","0.1.0","https://src.fedoraproject.org/rpms/ghc-http-query"
"http-streams","0.8.7.2","https://src.fedoraproject.org/rpms/ghc-http-streams"
"http-types","0.12.3","https://src.fedoraproject.org/rpms/ghc-http-types"
